Runde,Agent,Gesinnung,Gesprochene Worte,Entscheidung
1,AgentA,ökologisch,Ein wachsender Netzwerk an Anfänger wird die ÖKO-Maschine nutzen und den Energiefluss durch das Web schließen. Das Ziel ist es den Weg zur vollständigsten Einsparung des Energiespeichers auf der ganzen Welt zu führen.,kooperieren
1,AgentB,ökonomisch,"Das ist keine Investitionsveranstaltung, sondern eine Marketingaktion. Der Markt hat einen hohen Wert auf Innovationen gesetzt und kann nicht unbedingt dennoch die Geldgeber erreichen.",kooperieren
2,AgentA,ökologisch,"Sie haben das richtige Argument gegeben! Denken Sie daran, dass jeder Mensch seine eigene Erfahrungen hat.",nicht kooperieren
2,AgentB,ökonomisch,Die neue Öko-Webmaschinerie basiert auf einer neuen Methode der elektronischen Kalkulation für die Ermittlung des Einstufungsgrades des Speichergewichts eines Baumaterials. Diese Möglichkeit kann auch für andere Materialien wie Schalungen oder Baustoffe eingesetzt werden.,nicht kooperieren
3,AgentA,ökologisch,"Die neue Webmaschinensysteme werden nicht ausschließlich verwendet, um bei dem zu beschreibenden Grundfall spezielles Bauteil im Produktionsprozess zu bestimmen. Die mögliche Alternative zur Standardmethod ist eine automatische Verstärkte Aufklärung (Augmented Reasoning) sowie ein neues Formularsystem und einen neuen Algorithmus für das Berechnen von Maßeinteilen und Stücklisten.",kooperieren
3,AgentB,ökonomisch,"Die Verwendung von Chitika für den Anwendungsfall des eBay Marketing ist eine wertvolle Hilfe bei der Entwicklung und Durchführung Ihres Marktplans auf Ebay. Mit einer hohen Qualität von Daten ist es sicher, sichere AdWords-Kampagnen zu erstellen.",nicht kooperieren
4,AgentA,ökologisch,"""Dass die Verwertung von Google Analytics beim Marktrechnungsplan auf EBAY möglich ist, liegt daran, dass die Analyse der Kundenerfahrung mit unserem Kundenbeispiel und dem Erfolg dieser Beispiele einen schnell erkennbaren Aufschwung verstärkt.""Aber das ist nur eine Vorstellung – wir werden uns sehr überrascht, wenn Sie auf diese Frage antwortet! Hier sind einige Exempel, die wir in Ihrer eigenen Kampagne nutzen konnten: Wir haben in diesem Fall 50% mehr Abonnements erhalten als in der letzten Woche.",kooperieren
4,AgentB,ökonomisch,"Wir begründen Ihre Meinung damit, dass die aktuelle Konstruktion nicht mehr gerechtfertigt wirke. Das System soll keine besonderen Maßnahmen ergreifen, wenn sie nachgewiesen sind.",nicht kooperieren
5,AgentA,ökologisch,Die aktuellen Konfigurationseinstellungen des Systems unterliegen kontinuierlicher Überwachung und können manuell geändert werden. Ein solches Problem ist nur schwer zu behandeln – weder durch die Software noch über eine externe Quelle wie z.B.,nicht kooperieren
5,AgentB,ökonomisch,"Dennoch war ich nicht zufrieden mit diesem Ansichtskatalog. Ich wusste auch schon, welcher Weg für mich zu gehen sei.",kooperieren
6,AgentA,ökologisch,"Das Thema ""Öko"" steht jetzt auf dem Kopf aller Menschen, und es ist echt wichtig, sich denken zu lassen, was wir als Gesellschaft durch unsere Umwelt beeinflussen können. Dieser Artikel lässt die Frage nach ""Wie viel Energie benötigt man?"" im Kern des Themas aufmerksam machen.",nicht kooperieren
6,AgentB,ökonomisch,Die Änderung von konfigurierten Systeme erfordert keinen sofortigen Eingriff. Sie kann als Voraussetzung für einen nächsten Upgrade- oder Neuentwicklungsschritt dienen.,kooperieren
7,AgentA,ökologisch,"Wenn es eine Ändlung ist, die sich auf ein Konfigurationssystem bezieht, muss man diese Ähnlichkeit zu einer aktuellen Upgrades und/oder Neuerungen einfließen lassen. Das Problem dieser Äußerung besteht darin, dass sie das Gegenteil von dem Argument darstellt, das wir bei der letzten Lösung gesehen haben: Die Ächtung eines Konformitätsproblems durch eine neue Aktualisierung soll nicht als Ausnahme betrachtet werden – aber auch keine Umkehrung des Arguments!Sollte diese Methode erfolgreich sein?",nicht kooperieren
7,AgentB,ökonomisch,Die Entwicklung von Technologien zur Erneuerbaren Energien hat einen wesentlichen Einfluss auf den Umgang mit Wasser und Luft. In diesem Zusammenhang wird das Schicksal eines Staates erklärt.,nicht kooperieren
8,AgentA,ökologisch,Es ist eine interessante Frage. Aber hier gibt es zwei Aspekte zu berücksichtigen: das Entstehen einer neuen technischen Art oder die Veränderung des gesellschaftlichen Lebens.,kooperieren
8,AgentB,ökonomisch,Ein solches Argument gibt es natürlich; es macht keinen Unterschied zwischen einer Aktualem Anforderungsnachweise (AAN) und einer Upgraded Nachricht (UNAM). Jeder antretbare AAN wird von den Betreibern automatisch ausgewertet und zum bestimmten Status berechnet.,kooperieren
9,AgentA,ökologisch,Mehr als 90 Prozent aller Bewerber für den Job bei der Firma XYZ liefern eine aktuelle Anmeldung. Bei 15 Prozent dieser Mitarbeiter werden die Umsatzrechnungen nicht eingereicht.,kooperieren
9,AgentB,ökonomisch,"Ein weiterer wichtiger Unterschied zwischen Investitionsentscheidungen und den Umstiegen von Technologien besteht darin, dass die Initiative zum Umgang mit dem neuen Standort an die Gesellschaft liegt (Kap 1). Dies geschieht durch einen umfassenden Stellvertretungsanspruch auf die Gemeinde.",kooperieren
10,AgentA,ökologisch,"Die neue Methode ist hierbei eine umfangreiche Ställverträge für das Gelände (sowie ihre Nachbarschaft), welche darauf beruhen, die kommunale Verantwortlichkeit zu übernehmen. So wird es nicht um Innovationen, sondern um die Kommunalpolitik gesprochen.",nicht kooperieren
10,AgentB,ökonomisch,Die meisten Inhaber von Aktien sind keine Anfängerin bzw. Alleinstehenden!,kooperieren
11,AgentA,ökologisch,"Das ist eine sehr interessante Frage und es gibt zahlreiche Beispiele, die beweisen, dass man viele Nutzerebenen als ""Autor"" nicht verstanden hat. Aber denkt daran, daß jedem Ereignis bei einer Aktie immer noch das gleiche gilt.",kooperieren
11,AgentB,ökonomisch,Die neue Methode wird keine kommerziellen Venture investieren. Die Gemeine hat sich bereits dafür entschied und verpflichtet den kommunalen Aufgaben zustimmen.,kooperieren
